Label,Text
1,Win a free iPhone now 
1,Claim your cash prize
0,Hello friend, how are you
0,Let's schedule a meeting tomorrow
1,Free gift waiting for you
0,Are we still on for lunch?
1,Congratulations! You won a lottery
0,Can you send me the report?
0,See you at the office
1,Claim your free reward today
0,Reminder: Project deadline approaching
1,Win money instantly, click here
0,Team meeting at 10 AM
1,Exclusive offer just for you
0,Happy birthday! Have a great day
1,Limited time promotion, act now
0,Did you finish the presentation?
1,You have won a free ticket
0,Let's catch up soon
1,Free subscription available now